Fe,C,Cr,Ni,Mn,S,Si,Mo,V,W,Co,Al,P,Cu,Ti,Tensile_Strength_MPa
69.31,0.46,11.27,10.06,1.71,0.03,0.33,0.35,0.64,0.13,2.93,0.94,0.03,1.16,0.64,991.63
65.86,0.56,9.82,18.83,0.77,0.05,1.81,0.98,0.07,0.5,0.09,0.09,0.03,0.21,0.32,1057.49
59.05,0.15,12.54,12.58,1.75,0.04,1.61,1.41,0.18,3.75,4.03,0.99,0.02,1.12,0.78,981.96
53.64,0.42,16.75,17.17,0.86,0.04,1.51,0.52,0.9,2.53,4.13,0.32,0.04,1.17,0.01,1183.48
61.47,1.14,10.32,12.64,0.9,0.01,0.66,3.36,0.75,3.96,3.95,0.09,0.02,0.17,0.55,1775.8
65.27,0.54,15.98,7.02,0.23,0.01,1.52,3.09,0.1,0.42,3.5,0.07,0.04,2.12,0.08,1109.82
48.82,0.98,17.05,19.72,1.51,0.02,0.17,3.89,0.56,2.12,4.53,0.11,0.02,0.03,0.47,1736.41
80.7,0.08,2.14,2.35,1.3,0.04,1.17,4.81,0.37,1.43,4.34,0.22,0.05,0.04,0.97,692.91
53.95,0.1,9.97,19.39,1.05,0.03,1.39,2.27,0.63,2.92,4.51,0.05,0.01,2.85,0.89,983.48
66.37,0.55,11.16,5.55,0.38,0.02,0.71,2.92,0.08,4.87,4.93,0.7,0.03,0.93,0.81,1207.44
53.37,1.09,14.81,19,1.45,0.03,0.84,4.66,0.87,0.23,0.13,0.38,0.04,2.96,0.15,1803.18
59,0.72,6.86,19.4,1.68,0.04,0.94,2.07,0.27,0.28,4.32,0.81,0.05,2.99,0.56,1283.65
65.13,0.55,2.32,19.08,1.21,0.01,1.34,3.09,0.36,0.57,3.36,0.52,0.04,1.56,0.85,1170.72
60.07,0.67,10.1,17.53,0.81,0.01,0.06,3.78,0.62,3.52,1.06,0.14,0,1.05,0.59,1385.48
66.04,1.09,6.27,10.28,1.57,0.02,1.24,4.31,0.95,0.74,4.63,0.49,0.01,1.38,0.98,1613.71
72.02,0.6,5.92,12.67,0.48,0,0.26,0.64,0.15,0.69,3.2,0.18,0.02,2.69,0.47,1004.92
89.53,0.24,0.74,3.38,0.56,0.01,0.18,0.6,0.46,1.03,1.82,0.5,0.03,0.12,0.8,594.62
68.53,0.76,1.47,17.47,1.84,0,0.55,4.03,0.75,0.92,1.05,0.37,0.02,1.85,0.37,1377.22
72.73,0.05,4.54,14.27,1.79,0.03,1.06,0.54,0.45,2.66,1.21,0.27,0.02,0.06,0.32,650.21
78.67,0.26,5.89,2.4,1.78,0.03,1.36,3.95,0.5,0.43,2.69,0.59,0.04,1.29,0.13,784.66
75.03,0.78,10.27,7.12,1.97,0.03,0.47,0.51,0.15,1.23,0.8,0.19,0.01,0.52,0.9,1169.12
64.84,0.11,9.44,8.21,1.96,0.01,0.8,4.85,0.87,4.09,1.29,0.17,0.03,2.79,0.56,939.14
80.51,0.93,3.37,6.47,0.85,0.03,0.48,0.57,0.61,1.44,2.91,0.15,0.02,1.6,0.05,1228.86
81.08,0.41,2.42,1.27,1.98,0.02,1.62,1.27,0.68,3.8,2.98,0.47,0.02,1.05,0.93,946.99
85.04,1.13,3.26,1.33,1.48,0.03,1.68,0.7,0.8,1.01,0.82,0.16,0.04,2,0.52,1342.53
62.68,0.44,15.79,7.85,1.63,0.02,0.75,2.31,0.3,3.74,2.51,0.23,0.04,1.15,0.54,1184.39
54.41,0.15,16.92,12.55,0.67,0.01,1.59,3.1,0.53,4.47,3.94,0.15,0.02,0.75,0.74,1133.95
64.79,0.05,10.26,15.25,1.75,0.02,1.64,0.55,0.85,0.64,1.99,0.8,0.01,0.69,0.72,795.01
69.17,0.84,9.77,5.04,0.69,0.01,1.82,2.92,0.4,2.31,4.74,0.15,0.03,1.52,0.61,1444.44
48.82,0.03,15.7,18.64,1.13,0.03,1.84,3.54,0.15,2.88,3.03,0.42,0.04,2.8,0.93,988.66
70.79,1.18,15.1,2.49,1.84,0.04,1.04,2.96,0.4,0.27,1.68,0.8,0,1,0.4,1637.28
67.44,0.65,16.56,6.93,0.69,0.04,0.9,1.12,0.45,0.7,0.88,0.5,0.02,2.74,0.36,1245.9
73.17,0.03,11.94,3.56,1.92,0.01,0.83,0.43,1,2.51,2.98,0.07,0.04,0.63,0.9,747.2
84.25,0.25,3.43,0.73,0.94,0.03,0.13,3.88,0.45,2.62,2.2,0.4,0.03,0.47,0.18,718.61
82.22,0.78,7.36,0.51,0.31,0.04,1.32,0.14,0.22,1.16,3.36,0.02,0.01,2.4,0.18,1042.59
81.33,0.79,4.29,1.99,0.49,0.04,1.71,4.15,0.4,3.34,1.02,0.29,0.04,0.04,0.09,1240.19
54.82,0.51,16.07,16.35,0.68,0.01,0.76,2.95,0.27,3.12,2.05,0.55,0.02,0.88,0.95,1298.73
68.47,0.92,2.52,17.37,0.97,0.04,1.6,2.13,0.02,1.34,2.71,0.63,0.01,0.42,0.83,1377.91
80.68,0.21,4.9,0.37,1.83,0.01,1.15,1.37,0.55,3.26,4.15,0.21,0,0.41,0.9,801.26
66.66,1.05,10.75,12.01,1.33,0.01,1.83,2.09,0.38,2.59,0.23,0.17,0.04,0.25,0.6,1573.59
66.42,0.35,6.4,14.38,0.59,0.03,0.95,3.32,0.94,3.66,1.07,0.03,0.01,1.79,0.05,1021.56
67.14,0.6,10.74,6.68,1.54,0.01,0.15,3.64,0.5,3.44,2.17,0.25,0.04,2.4,0.69,1305.22
65.09,0.44,1.65,18.35,0.27,0.05,0.89,0.93,0.54,4.36,3.66,0.81,0.03,2.08,0.85,1000.68
72.86,0.31,8.81,4.42,1.98,0.05,0.08,3.53,0.93,0.9,2.84,0.92,0,2.09,0.3,935.86
68.5,1.04,15.2,6.38,1.66,0,1.19,1.15,0.12,0.38,3.48,0.34,0.04,0.2,0.32,1509.46
66.05,0.65,14.23,6.38,1.25,0.04,1.23,1.16,0.02,4.35,0.11,0.87,0.03,2.82,0.8,1253.01
61.73,0.58,11.3,17.47,1.97,0.04,0.84,2.11,0.74,1.19,0.55,0.35,0.01,0.89,0.23,1282.68
67.45,0.06,0.32,19.75,0.86,0.02,1.36,1.09,0.95,3.93,0.45,0.42,0.04,2.83,0.47,709.35
68.13,1.19,4.17,18.85,1.3,0.03,1.03,1.15,0.18,1.1,0.93,0.78,0.02,0.17,0.97,1597.82
49.01,1.06,16.7,19.9,0.35,0.02,1.52,3.48,0.15,4.08,1.12,0.22,0.03,1.78,0.58,1825.22
56.52,1.07,17.2,17.24,1.62,0.03,1.1,0.43,0.41,1.86,1.3,0.72,0.02,0.24,0.22,1636.49
64.53,0.82,1.37,17.02,0.99,0.02,1.18,4.12,0.35,3.39,2.83,0.27,0.04,2.39,0.66,1461.93
60.44,0.84,12.24,12.37,1.51,0.01,1.76,4.36,0.03,4.13,0.64,0.34,0.04,0.48,0.82,1601.48
74.27,1,9.13,0.13,0.57,0.03,1.96,3.16,0.26,3.17,2.7,0.78,0.01,2.28,0.54,1484.94
71.52,0.76,16.78,2.05,1.87,0.03,0.14,1.5,0.71,0.34,2.91,0.35,0.03,0.14,0.87,1299.03
56.8,1.17,17.44,14.99,0.26,0.04,0.05,0.11,0.32,2.44,3.85,0.68,0.02,0.82,1,1677.96
58.38,0.2,14.31,13.87,0.44,0,1.36,3.27,0.27,4.75,0.76,0.43,0.05,1.26,0.64,1010.11
63.4,0.48,4.94,19.68,0.82,0.04,0.46,1.07,0.03,3.26,1.84,0.86,0.02,2.9,0.19,1062.97
53.1,0.93,15.21,15.22,1.25,0.01,0.07,4.6,0.62,3.98,2.41,0.12,0.01,2.06,0.43,1766.02
81.91,0.25,8.85,1.28,1.16,0.01,1.6,1.55,0.46,0.06,0.36,0.39,0.02,1.8,0.29,738.42
76.67,0.94,0.71,9.61,0.21,0.01,1.97,0.71,0.5,3.09,3.51,0.56,0,0.98,0.52,1331.24
81.15,0.11,6.31,0.66,0.16,0.02,0.27,2.84,0.69,4,1,0.17,0.01,1.91,0.71,728.38
55.02,0.85,15.68,14.28,1.6,0.02,1.63,0.4,0.89,2.74,4.09,0.45,0.03,1.58,0.73,1537.11
79.92,0.11,1.09,4.94,0.32,0.04,0.44,4.88,0.34,0.91,3.95,0.66,0.02,1.67,0.72,672.33
70.79,0.25,12.24,1.44,0.06,0.01,0.93,4.34,0.73,3.71,2.13,0.35,0.02,2.96,0.04,983.25
63.85,1.04,10.42,8.77,1.45,0.02,1.75,4.5,0.42,1.38,2.96,0.91,0.01,1.87,0.63,1641.11
65.8,0.86,16.36,3.59,0.48,0.05,0.36,4.27,0.49,1.24,4.35,0.45,0.03,1.08,0.59,1488.78
59.78,0.2,7.04,19.39,0.52,0.03,0.65,3.87,0.13,4.85,2.27,0.24,0,0.51,0.52,1063.02
70.78,0.52,4.48,12.34,1.41,0.01,0.34,0.18,0.74,3.32,2.37,0.84,0.04,1.76,0.87,1052.23
82.46,0.25,2.01,5.39,0.11,0.03,1.87,0.2,0.12,2.26,4.67,0.32,0.03,0.12,0.15,672.23
68.93,0.55,9.28,9.78,1.33,0.01,0.06,1.54,0.7,1.01,3.37,0.97,0,2.02,0.44,1128.46
65.7,1.04,3.19,13.85,1.68,0.05,1.37,2.49,0.62,4.34,2.85,0.03,0.05,2.07,0.68,1612.89
67,0.48,11.72,2.13,1.32,0.05,0.1,4.89,0.41,4.35,3.91,0.57,0.04,2.64,0.4,1174.59
59.8,0.4,12.02,16.16,1.52,0.04,0.87,4.09,0.12,2.72,0.03,0.32,0.02,1.19,0.7,1158.32
76.19,0.29,6.72,4.55,0.15,0.03,1.34,3.1,0.46,1.9,4.32,0.52,0.02,0.08,0.34,793.61
65.44,0.46,7.18,11.6,1.07,0.03,1.53,4.06,0.72,4.78,0.09,0.2,0,1.94,0.9,1250.06
64.12,0.08,16.82,7.03,0.2,0.02,0.51,1.42,0.31,4.02,2.7,0.31,0.03,2.15,0.27,832.31
79.53,0.5,2.19,3.62,1.36,0.01,1.05,3.55,0.11,2.84,1.28,0.96,0.02,2.42,0.55,1013.27
54.29,1.14,10.83,16.38,1.77,0.01,0.42,3.05,0.41,4.2,4.5,0.35,0.01,2.34,0.27,1821.46
64.87,0.99,7.63,13.35,0.19,0.03,0.9,2.93,0.17,3.68,4.31,0.22,0,0.07,0.64,1588.12
68.63,0.29,7.04,11.89,0.99,0.05,0.27,3.48,0.4,2.14,3.59,0.69,0.05,0.39,0.1,980.49
75.99,0.87,10.41,5.48,0.16,0,1.79,0.96,0.32,1.13,1.77,0.07,0.03,0.2,0.8,1294.31
59.38,1.06,11.72,10.66,0.65,0.02,1.34,4.97,0.66,2.79,3.65,0.47,0,1.69,0.96,1737.4
67.65,0.22,12.42,4.02,1.07,0,0.9,3.78,0.35,3.32,3.98,0.93,0.01,1.2,0.15,1008.9
75.4,0.63,11.22,1.78,1.51,0.01,1.65,3.91,0.71,0.18,1.52,0.26,0.02,0.26,0.94,1224.58
68.2,0.67,5.5,7.94,0.89,0.03,1.03,4.6,0.5,4.96,4.26,0.21,0.05,0.35,0.82,1383.84
57.12,1.04,14.51,15.8,0.61,0,0.81,0.87,0.69,1.73,4.88,0.64,0.04,0.4,0.86,1640.75
67.67,1.11,8.77,12.13,1.53,0.01,1.01,1.99,0.15,1.84,0.34,0.03,0.01,2.89,0.55,1586.15
74.25,0.38,9.11,8.79,0.21,0.03,0.43,3.1,0.65,0.76,0.31,0.78,0.02,0.17,0.99,976.56
58,0.08,12.51,19.67,0.48,0.01,0.24,1.52,0.1,3.46,0.31,0.51,0.05,2.44,0.62,895.71
74.34,0.64,7.67,2.61,1.77,0.02,0.39,1.84,0.41,4.14,3.67,0.77,0,1.25,0.48,1144.14
68.3,0.03,4.68,15.21,0.27,0.03,0.43,0.06,0.24,4.88,4.01,0.96,0.02,0.33,0.55,714.88
74.33,0.13,8.79,3,0.65,0.04,0.95,1.88,0.39,2.3,3.93,0.89,0.05,2.36,0.32,702.32
70.61,0.83,7.88,5.09,1.68,0,1.8,2.31,0.64,3.3,4.48,0.64,0.03,0.2,0.52,1415.76
74.92,0.62,12.24,0.83,0.17,0.04,0.14,0.36,0.01,4.78,3.69,0.35,0.01,1.05,0.77,1094.8
81.44,0.8,3.33,3.48,0.2,0.03,1.53,1.33,0.02,0.41,4.84,0.3,0.04,1.87,0.38,1066.92
53.53,0.74,13.94,12.88,1.06,0,1.94,3.99,0.29,4.9,3.01,0.58,0.04,2.44,0.66,1582.76
61.69,0.16,6.09,18.56,0.45,0.02,0.86,2.2,0.61,4.72,1.2,0.12,0.01,2.66,0.65,980.31
47.69,1.04,15.24,18.38,0.5,0.04,0.92,4.21,0.73,3.88,3.28,0.18,0.03,2.95,0.94,1856.91
80.6,0.06,2.97,2.63,1.45,0.04,0.43,2.53,0.84,3.66,2.71,0.59,0.03,0.89,0.57,683.76
70.58,0.77,13.7,3.2,0.92,0,0.49,3.63,0.99,0.5,2.01,0.8,0.01,1.67,0.73,1385.06
76.47,0.74,3.38,7.11,1.57,0.03,0.01,3.8,0.04,3.73,1.01,0.96,0.02,0.98,0.15,1252.5
71.55,1.2,6.63,8.97,1.44,0.04,1.19,1.96,0.41,3.48,0.02,0.62,0.02,2.38,0.09,1599.43
63.81,0.71,8.66,12.85,0.13,0.03,1.12,2.8,0.6,3.38,4.02,0.27,0.04,1.49,0.08,1323.11
61.01,0.94,12.74,15.77,1.03,0.02,0.29,1.64,0.43,0.44,1.1,0.6,0.04,3,0.93,1486.07
64.91,0.77,7.58,12.72,1.57,0.01,0.82,4.2,0.38,2.86,2.94,0.18,0.02,1,0.03,1426.82
65.67,0.37,16.93,5.19,0.86,0.04,1.68,0.93,0.8,2.29,2.41,0.13,0,2.18,0.5,998.12
59.76,0.53,13.13,15.31,0.32,0.03,0.27,3.76,0.66,4.78,0.34,0.06,0.01,0.79,0.25,1315.17
66.52,0.33,13.67,8.99,1.55,0,0.98,0.17,0.06,4.53,0.7,0.53,0.02,1.04,0.9,1030.78
55.11,0.04,11.95,19.27,1.12,0.05,0.1,2.09,0.26,3.65,4.91,0.26,0.03,0.59,0.57,900.63
80.06,0.73,6.29,2.28,0.3,0.01,0.5,4.25,0.56,2.62,0.57,0.86,0.04,0.2,0.71,1230.31
75.17,0.66,1.47,9.17,0.97,0.01,1.89,4.25,0.67,2.31,2.06,0.65,0.03,0.19,0.51,1211.14
68.75,0.07,14.15,4.03,0.52,0.01,0.66,3.78,0.52,1.02,4.39,0.88,0.04,0.72,0.45,845.72
71.27,1.18,13.9,0.54,0.13,0.02,1.82,2.69,0.5,0.53,3.28,0.82,0.02,2.33,0.96,1640.63
58.06,0.35,14.27,11.55,1.27,0.04,0.79,4.58,0.53,0.79,3.48,0.79,0.02,2.57,0.91,1132.41
65.2,0.34,17.7,2.81,0.4,0.01,1.79,3.27,0.15,2.2,3.08,0.08,0.04,2.41,0.51,1068.29
64.88,1.18,12.02,12.69,0.33,0.04,0.85,0.81,0.01,2.8,2.64,0.72,0.04,0.24,0.73,1636.87
57.21,0.23,15.45,16.38,1.08,0.04,0.63,2.36,0.82,2.3,1.79,0.49,0.04,1.01,0.17,1061.96
78.1,0.13,4.32,2.84,0.7,0.02,1.5,3.26,0.62,1.76,4.21,0.47,0.05,1.9,0.13,716.18
69.32,0.81,5.85,13.73,0.14,0.01,1.71,1.14,0.84,1.4,3.21,0.69,0.03,0.92,0.21,1306.39
57.01,1.05,13.79,15.77,1.33,0.01,1.81,3.35,0.56,0.55,2.24,0.46,0.04,1.64,0.38,1694.26
76.34,1.17,1.99,8.45,0.08,0.04,1.84,1.4,0.86,1.46,4.55,0.75,0.04,0.05,0.96,1477.71
70.49,1,5.07,17.46,0.23,0.04,1.08,0.48,0.24,0.06,2.34,0.3,0.03,0.89,0.3,1361.18
67.48,0.89,0.87,18.06,1.7,0.03,1.19,4.46,0.19,0.39,1.2,0.79,0,1.75,1,1441.29
57.56,0.09,14.96,11.98,0.23,0,1.82,3.35,0.83,4.39,2.86,0.52,0.02,0.95,0.43,1054.84
58.56,0.93,10.83,17.85,0.89,0.03,1.26,2.96,0.7,1.19,2.56,0.1,0.02,1.46,0.65,1580.57
69.31,0.89,9.11,12.68,0.14,0.01,0.72,2.36,0.05,0.7,1.38,0.97,0.02,1.45,0.2,1359.31
82.99,0.74,5.05,4.14,1.03,0,0.02,1.1,0.04,0.54,1.69,0.8,0.03,1.54,0.29,1026.55
73.28,0.11,11.11,2.28,0.69,0.03,1.75,2.47,0.7,4.96,0.66,0.27,0.02,1.27,0.41,860.47
61.03,1.09,12.85,12.16,0.62,0.04,1.91,4.11,0,3.18,0.26,0.26,0,1.81,0.69,1722.7
78.07,0.55,6.64,2.42,0.84,0.04,0.14,0.4,0.35,4.71,3.34,0.68,0.02,1.78,0.01,967.38
59.15,0.77,16.44,12.25,1.75,0.04,0.24,4.51,0.07,2.67,0.71,0.01,0.02,0.89,0.49,1491.29
68.63,0.16,10.06,6.86,1.46,0.03,1.69,3.46,0.43,3.36,1.38,0.31,0.04,1.34,0.8,916.72
51.96,0.99,15.44,18.33,0.86,0.02,1.16,1.86,0.6,3.53,3.44,0.37,0.01,1.29,0.14,1699.99
72.43,0.19,0.46,12.92,1.27,0.02,0.14,2.05,0.31,3.39,3.03,0.36,0.01,2.96,0.45,817
77.98,0.83,2.53,9.71,0.06,0.03,1.93,1.92,0.04,0.15,1.94,0.16,0,2.27,0.46,1187.07
58.76,0.15,17.21,6.28,1.78,0.03,1.65,4.92,0.29,4.81,1.95,0.39,0.02,1.62,0.15,1086.58
66.22,0.67,9.75,15.24,1.67,0.02,0.6,1.3,0.19,0.29,1.71,0.27,0.05,1.67,0.35,1146.44
65.63,0.54,11.27,9.78,0.8,0.05,1.76,3.12,0.57,3.1,1.01,0.4,0,1.43,0.54,1236.98
51.63,0.28,17.35,18.19,1.44,0.03,1.74,0.65,0.79,0.62,3.97,0.28,0.04,2.83,0.15,1081.81
57.74,0.59,15.54,11.77,0.75,0.01,0.41,3.81,0.39,2.56,2.46,0.58,0.04,2.94,0.41,1344.33
56.26,0.99,13.76,11.47,1.91,0.01,0.22,4.27,0.44,4.23,4.47,0.06,0.04,1.34,0.51,1771.53
67.33,0.03,8.58,13.75,1.45,0.03,0.27,1.5,0.36,4.02,1.39,0.21,0.05,0.03,1,770.55
61.34,0.82,14.91,5.89,0.03,0.04,1.67,3.7,0.14,3.77,3.84,0.66,0.04,2.54,0.61,1496.86
72.65,0.1,7.34,8.14,0.13,0.02,0.22,4.04,0.95,0.36,4.78,0.52,0.01,0.23,0.5,746.55
72.56,0.96,12.73,1,0.15,0.02,0.59,1.16,0.28,4.02,4.65,0.41,0.05,0.96,0.48,1435.55
67.16,1.17,10.86,7.16,1.3,0.01,1.78,2.52,0.45,2.93,3.12,0.07,0.03,0.73,0.71,1677.09
63.75,0.99,14.47,11.05,1.04,0.01,1.55,1.36,0.5,1.42,0.67,0.63,0,2.25,0.32,1541.4
73.37,0.07,4.97,14.14,0.13,0.04,0.01,1.23,0.74,1.58,0.51,0.36,0.01,2.53,0.31,629.23
64.17,0.95,16.05,8.68,1.82,0.02,1.93,0.45,0.69,2.47,1.94,0.63,0.04,0.01,0.17,1540.29
55.16,1.16,13.7,19.02,1.41,0.01,0.21,3.91,0.64,0.24,1.8,0.96,0.03,1.3,0.46,1840.58
73.58,0.26,6.64,7.4,0.1,0.04,0.83,4.11,0.85,1.06,3.29,0.47,0.04,0.65,0.68,837.8
61,0.17,11.73,14.77,0.63,0.03,0.79,3.57,0.2,4.45,1.44,0.37,0,0.33,0.52,1033.35
76.95,0.33,15.04,0.29,0.76,0.02,0.04,0.62,0.41,2.46,2.02,0.53,0.03,0.03,0.46,861.27
65.56,0.82,5.61,15.48,1.55,0.03,1.95,0.63,0.02,3.85,4.04,0.12,0.01,0.05,0.29,1365.47
69.15,0.93,9.32,6.96,0.74,0,0.6,3.23,0.97,4.24,0.12,0.9,0.04,2.34,0.46,1482.46
75.05,0.09,4.11,4.93,0.97,0.04,0.95,0.29,0.96,4.71,3.93,0.99,0.03,2.89,0.08,651.76
77.89,0.45,4.06,3.92,0.28,0.03,1.56,2.89,0.15,4.06,3.18,0.39,0.03,0.78,0.35,961.76
57.32,0.57,16.02,14.15,0.12,0.01,0.02,3.15,0.45,0.67,4.79,0.53,0.01,1.5,0.68,1315.93
69.52,0.1,4.94,16.14,0.92,0.03,0.87,0.22,0.17,2.23,1.05,0.05,0.04,2.94,0.79,672.5
60.79,1.15,3.54,19.03,1.99,0.04,1.96,2.85,0.26,2.18,2.97,0.07,0.03,2.94,0.19,1700.5
47.56,0.95,16.34,18.87,1.92,0.03,1.95,3.79,0.16,2.38,3.59,0.25,0.03,2,0.16,1796.18
86.49,0.6,0.22,0.18,0.71,0.05,0.46,3.17,0.22,1.61,4.24,0.73,0,1.29,0.03,946.87
67.88,0.58,11.92,2.37,0.58,0.02,1.84,4.97,0.04,3.81,1.86,0.39,0.04,2.76,0.95,1244.2
76.6,0.95,4.52,11.28,0.72,0.03,0.48,0.96,0.92,0.51,2.53,0.22,0,0.11,0.18,1323.62
61.96,1.04,5.08,19.01,1.16,0.02,1.16,2.58,0.76,1.41,1.77,0.89,0.05,2.68,0.42,1573.9
71.84,0.6,3.68,11.82,0.37,0.02,1.71,1.04,0.07,0.35,4.7,0.51,0.02,2.43,0.84,1094.37
62.74,0.41,12.49,15.42,1.31,0.01,1.75,2.7,0.28,2.13,0.19,0.13,0.04,0,0.42,1106.04
76.65,1.17,4.07,6.08,0.61,0.01,0,3.65,0.97,1.12,3.32,0.74,0.04,1.27,0.3,1549.49
56.1,0.4,12.83,16.34,0.36,0.02,1.8,4.03,0.98,3.77,1.97,0.59,0.03,0.24,0.54,1256.48
59.12,0.94,10.51,19.04,0.08,0.01,1.2,1.48,0.71,3.8,0.51,0.51,0.03,1.11,0.93,1603.5
57.7,0.99,12.55,14.29,0.92,0.05,1.39,3.64,0.86,1.37,4.04,0.2,0.02,1.01,0.98,1697.94
58.09,0.88,10.12,18.94,0.99,0.02,0.33,3.93,0.73,1.92,0.13,0.84,0,2.11,0.97,1616.11
66.6,0.53,4.23,14.1,1.63,0.03,1.93,0.26,0.5,3.59,4.31,0.18,0.04,1.66,0.4,1090.09
56.76,0.36,15.69,13.45,1.59,0.01,1.25,2.86,0.83,4.53,0.06,0.67,0,1.65,0.29,1217.36
73.37,0.38,6.35,12.43,0.67,0.04,0.81,0.34,0.78,1.43,2.16,0.69,0.02,0.17,0.37,881.01
72.42,0.81,11.38,3.98,0.84,0.04,0.2,1.39,0.28,2.16,4.9,0.07,0.03,0.54,0.97,1307.79
66.79,0.14,7.26,14.76,1.41,0.02,0.69,1.99,0.26,1.03,2.42,0.27,0.01,1.97,0.97,799.4
63.94,0.1,17.13,5.95,0.18,0.03,1.25,3.24,0.27,0.08,4.83,0.25,0.03,2.12,0.61,847.63
67.96,0.38,4.88,11.95,1.73,0.05,0.21,0.77,0.94,3.68,4.41,0.2,0.03,2.1,0.68,997.98
74.05,0.7,4.56,9.01,1.92,0.02,1.68,0.94,0.67,4.89,0.51,0.01,0.02,0.28,0.75,1252.24
74.84,1.1,7.81,5.17,0.87,0.04,0.02,2.95,0.61,3.19,1.21,0.71,0,0.6,0.88,1540.9
75.21,0.33,4.46,1.25,0.92,0.04,1.21,3.36,0.08,4.76,4.19,0.81,0.04,2.8,0.54,914.59
60.12,0.25,11.1,14.86,1.48,0.03,0.14,1.86,0.92,2.92,2.69,0.27,0.02,2.69,0.67,1026.29
66.3,0.76,4.47,14.11,0.86,0.02,1.3,4.68,0.06,4.12,1.46,0.44,0,0.9,0.5,1459.6
63.38,0.08,8.84,18.54,0.21,0.04,0.82,3.28,0.26,0.8,0.8,0.07,0.01,1.99,0.88,834.42
73.09,0.14,5.21,6.2,0.5,0.03,1.07,1.78,0.35,4.14,3.95,0.31,0.05,2.86,0.33,782.08
56.52,0.43,9.1,18.82,1.75,0.01,0.79,2.77,0.5,0.97,4.29,0.68,0.04,2.58,0.75,1246.35
73.58,0.2,12.13,3.59,1.39,0.01,0.24,0.83,0,3.59,3.66,0.51,0.01,0.25,0.02,758.05
71.03,0.21,16.04,4.83,0.71,0.01,0.44,2.6,0.61,1.23,0.29,0.39,0.01,0.66,0.96,939.78
66.29,0.5,7.72,10.82,1.39,0.04,0.34,2.5,0.41,4.35,3.16,0.53,0.01,1.82,0.12,1222.24
74.46,0.41,2.57,13.84,0.41,0.02,1.79,1.02,0.51,2.1,0.09,0.79,0,1.42,0.56,963.4
68.05,0.31,0.18,14.47,1.07,0.04,1.64,4.22,0.49,1.67,3.96,0.45,0.01,2.56,0.88,1015.77
